"metric","count","exact","withinTolerance","outsideTolerance","nullPairs","maxAbs","maxRelative"
"governing.fullScenario.diagnostics.ohnesorgeDispersed","3402","3402","3402","0","0","0","0"
"governing.fullScenario.diagnostics.swarmReAtFlood","3402","3402","3402","0","0","0","0"
"governing.fullScenario.diagnostics.weberTerminal","3402","3402","3402","0","0","0","0"
"governing.fullScenario.floodHoldup","3402","3402","3402","0","0","0","0"
"governing.fullScenario.forceBalanceResidualN","3402","3402","3402","0","0","0","0"
"governing.fullScenario.interfaceScenario","3402","3402","3402","0","0","0","0"
"governing.fullScenario.interfacialAreaM2M3","3402","3402","3402","0","3074","0","0"
"governing.fullScenario.loading","3402","3402","3402","0","0","0","0"
"governing.fullScenario.operatingBalanceResidualMS","3402","3402","3402","0","3074","0","0"
"governing.fullScenario.operatingHoldup","3402","3402","3402","0","3074","0","0"
"governing.fullScenario.operatingRoots.length","3402","3402","3402","0","0","0","0"
"governing.fullScenario.operatingSpeeds","3074","3074","3074","0","3074","0","0"
"governing.fullScenario.signedOperatingVelocities","3074","3074","3074","0","3074","0","0"
"governing.fullScenario.signedTerminalVelocityMS","3402","3402","3402","0","0","0","0"
"governing.fullScenario.terminalRe","3402","3402","3402","0","0","0","0"
"governing.fullScenario.terminalSpeedMS","3402","3402","3402","0","0","0","0"
"governing.trial.d32M","3402","3402","3402","0","0","0","0"
"governing.trial.holdup","3402","3402","3402","0","3074","0","0"
"governing.trial.floodHoldup","3402","3402","3402","0","0","0","0"
"governing.trial.actualLoading","3402","3402","3402","0","0","0","0"
"governing.trial.interfacialAreaM2M3","3402","3402","3402","0","3074","0","0"
"method.governing.operatingRoots.[]","656","656","656","0","0","0","0"
"method.governing.operatingSpeeds.slipMS","328","328","328","0","0","0","0"
"method.governing.operatingSpeeds.superficialSwarmMS","328","328","328","0","0","0","0"
"method.governing.signedOperatingVelocities.continuousMS","328","328","328","0","0","0","0"
"method.governing.signedOperatingVelocities.dispersedMS","328","328","328","0","0","0","0"
"method.governing.signedOperatingVelocities.dispersedRelativeToContinuousMS","328","328","328","0","0","0","0"
"governing.fullScenario.operatingRoots.[]","656","656","656","0","0","0","0"
"governing.fullScenario.operatingSpeeds.slipMS","328","328","328","0","0","0","0"
"governing.fullScenario.operatingSpeeds.superficialSwarmMS","328","328","328","0","0","0","0"
"governing.fullScenario.signedOperatingVelocities.continuousMS","328","328","328","0","0","0","0"
"governing.fullScenario.signedOperatingVelocities.dispersedMS","328","328","328","0","0","0","0"
"governing.fullScenario.signedOperatingVelocities.dispersedRelativeToContinuousMS","328","328","328","0","0","0","0"
"geometry.columnDiameterM","378","378","378","0","0","0","0"
"geometry.compartmentHeightM","378","378","378","0","0","0","0"
"geometry.freeArea","378","378","378","0","0","0","0"
"geometry.hcToColumn","378","378","378","0","0","0","0"
"geometry.rotorDiameterM","378","378","378","0","0","0","0"
"geometry.rotorToColumn","378","378","378","0","0","0","0"
