segment,atom,element,hb_class,area_square_angstrom,charge_electron,raw_sigma_e_per_square_angstrom,cpcmx_averaged_sigma,cpcmx_pre_probability_partition,nist_hsieh_averaged_sigma,nist_pre_probability_partition,nist_left_bin,nist_right_bin,nist_left_area_weight,nist_right_area_weight
138,3,C,NHB,0.626409493000,0.001100584000,0.001756972096207,0.002310462793844,NHB,0.002065462364941,NHB,0.002,0.003,0.934537635059154,0.065462364940846
139,3,C,NHB,0.626409493000,0.001331566000,0.002125711718740,0.001382517028531,NHB,0.001448110459531,NHB,0.001,0.002,0.551889540468763,0.448110459531237
140,3,C,NHB,0.626409493000,0.000738779000,0.001179386660413,0.002186842770720,NHB,0.002017657028429,NHB,0.002,0.003,0.982342971570725,0.017657028429275
141,3,C,NHB,0.626409493000,0.001076227000,0.001718088585864,0.001907163967060,NHB,0.001730441532622,NHB,0.001,0.002,0.269558467377621,0.730441532622379
142,3,C,NHB,0.604526425000,0.000984531000,0.001628598782923,0.000610849027416,NHB,0.000781766834250,NHB,0.000,0.001,0.218233165749854,0.781766834250146
143,3,C,NHB,0.604526425000,0.000510791000,0.000844944040287,0.002371636056235,NHB,0.002190393175218,NHB,0.002,0.003,0.809606824781559,0.190393175218441
144,3,C,NHB,0.604526425000,0.000438635000,0.000725584493680,0.001073714575407,NHB,0.001354127641465,NHB,0.001,0.002,0.645872358535172,0.354127641464828
145,3,C,NHB,0.604526425000,0.000690388000,0.001142031136191,0.001993571452430,NHB,0.001787043217900,NHB,0.001,0.002,0.212956782100382,0.787043217899618
146,3,C,NHB,0.604526425000,0.000987323000,0.001633217274166,0.001511971106484,NHB,0.001409175696466,NHB,0.001,0.002,0.590824303534155,0.409175696465845
147,3,C,NHB,0.604526425000,0.001385595000,0.002292033801500,0.002167502788887,NHB,0.002120249237697,NHB,0.002,0.003,0.879750762302685,0.120249237697315
148,3,C,NHB,0.604526425000,0.000914130000,0.001512142335217,0.001206719473839,NHB,0.001284950525537,NHB,0.001,0.002,0.715049474463324,0.284950525536676
149,3,C,NHB,0.604526425000,0.001273609000,0.002106787970435,0.001958956700652,NHB,0.001964015568753,NHB,0.001,0.002,0.035984431247357,0.964015568752643
150,3,C,NHB,0.604526425000,0.001360601000,0.002250689041426,0.001444355686385,NHB,0.001485691502362,NHB,0.001,0.002,0.514308497638236,0.485691502361764
151,3,C,NHB,0.604526425000,0.001298797000,0.002148453642866,0.002054677306826,NHB,0.001928883579077,NHB,0.001,0.002,0.071116420923484,0.928883579076516
152,3,C,NHB,0.604526425000,0.001321897000,0.002186665371989,0.001905631381562,NHB,0.001655928055964,NHB,0.001,0.002,0.344071944035788,0.655928055964212
153,3,C,NHB,0.610796623000,0.001569822000,0.002570122264740,0.002380313355066,NHB,0.002051297940887,NHB,0.002,0.003,0.948702059112978,0.051297940887022
154,3,C,NHB,0.610796623000,0.000971453000,0.001590468845798,0.001331066106251,NHB,0.001365052833959,NHB,0.001,0.002,0.634947166040677,0.365052833959323
155,3,C,NHB,0.610796623000,0.001379092000,0.002257857931870,0.001955289765236,NHB,0.001799698710625,NHB,0.001,0.002,0.200301289374794,0.799698710625206
156,3,C,NHB,0.610796623000,0.001013382000,0.001659115263314,0.001786690062998,NHB,0.001559144098096,NHB,0.001,0.002,0.440855901904432,0.559144098095568
157,3,C,NHB,0.610796623000,0.000929833000,0.001522328324988,0.001017099738759,NHB,0.001138111335950,NHB,0.001,0.002,0.861888664050485,0.138111335949515
158,3,C,NHB,0.610796623000,0.000973579000,0.001593949546116,0.000969533824253,NHB,0.000987622108233,NHB,0.000,0.001,0.012377891767487,0.987622108232513
159,3,C,NHB,0.610796623000,0.001243641000,0.002036096718891,0.001308529915632,NHB,0.001585103564510,NHB,0.001,0.002,0.414896435490495,0.585103564509505
160,3,C,NHB,0.610796623000,0.000084328000,0.000138062321933,0.000921215946299,NHB,0.001297235620131,NHB,0.001,0.002,0.702764379868976,0.297235620131024
161,3,C,NHB,0.610796623000,0.000860683000,0.001409115518309,0.000495442042474,NHB,0.000551323404402,NHB,0.000,0.001,0.448676595598093,0.551323404401907
162,3,C,NHB,0.610796623000,0.001235259000,0.002022373656771,0.001788945314843,NHB,0.001742538388130,NHB,0.001,0.002,0.257461611869725,0.742538388130275
163,3,C,NHB,0.610796623000,0.000499483000,0.000817756649581,0.002045662451449,NHB,0.001887988003270,NHB,0.001,0.002,0.112011996730169,0.887988003269831
164,3,C,NHB,0.610796623000,0.001343412000,0.002199442415712,0.001808366700520,NHB,0.001692885502272,NHB,0.001,0.002,0.307114497728107,0.692885502271893
